instrument_id,instrument_type,orig_unpaid_balance,start_dt,unpaid_balance,rating_grade
0f46f7b7-0832-4bd3-8f7c-95ab52846619,CONSTRUCTION,377285,2016-12-08,29443,E
7fb246d2-d9e1-4662-94c0-1575f280f436,CONSTRUCTION,265336,2018-09-21,136440,D
b90bb5b8-5af8-4b12-8a64-cbeba44f2cc2,HELOAN,281903,2020-01-27,126406,C
85fdc2f5-5c45-4835-be86-ec7ffdb54301,CONSTRUCTION,240047,2019-06-14,78302,D
19f2e20d-c01d-4f46-aecd-408761142dca,CREDIT_CARD,31506,2023-05-24,22272,E
cd60c5c5-ab25-40af-a486-4aaad0e2d37a,CREDIT_CARD,13869,2019-06-03,10511,E
54b4719a-dfbe-4b1b-9527-618e1dbd078a,HELOC,337723,2015-12-25,318264,F
47183564-bd98-4b7b-b335-4b11827ecc95,HELOAN,380431,2022-11-09,369901,F
2b2e55ae-e5df-462d-a84d-e44029198633,HELOAN,396891,2021-03-31,241673,D
6b1c70d1-32b3-4af5-b883-94a5ae5af735,CONSTRUCTION,199579,2016-01-31,165913,F
9a12f667-cd1e-4179-a8f7-271e5d68621a,CONSTRUCTION,284124,2023-06-11,32129,A
0fe2f95d-c15c-49fd-97da-426423c379ec,CREDIT_CARD,29199,2014-09-19,2122,F
ef0dd622-3125-406f-a03e-173c005a4e53,HELOC,390264,2019-08-15,284628,E
bcf6863e-259b-49b5-a68a-58ade2bd57be,HELOAN,295655,2017-05-28,4093,E
2975a1de-f9b5-4f8e-9665-aff558c84361,HELOAN,295674,2014-12-08,98987,F
884884d9-96c0-4e05-a92d-3376193fcc5f,CREDIT_CARD,9840,2021-09-01,9194,F
125c5fda-a505-4ee3-845f-b28b2b025e6d,CONSTRUCTION,297998,2019-03-09,218087,E
538ec8bb-4cb5-493a-ba66-944144712568,HELOAN,358548,2022-08-03,172204,C
c4c1a331-49ad-492c-b0fb-3a1a63518539,AUTO,32077,2022-02-16,16257,D
7db190f7-d0b5-4c77-8222-d150285d9e1b,HELOAN,366515,2021-04-05,41383,C
4d4456bb-4b43-4caf-a7ed-647aa406ae9d,CREDIT_CARD,23449,2022-04-25,21780,F
926495f1-558d-4fd4-bb8f-c3fc810e58f5,HELOC,469071,2018-12-19,208401,D
d0936304-d7e3-44ed-9568-aa85387e6b93,CREDIT_CARD,27088,2022-01-23,613,B
17fbaa0b-4955-4c7f-9052-58e2dc360ca5,AUTO,24256,2015-03-14,12434,F
26848480-686e-4250-9cef-6972d9cc45f8,HELOAN,223168,2015-03-04,71291,F
786fdfef-75b0-4fb7-80f8-427136b46445,HELOAN,395674,2017-03-04,13547,E
10f0354d-23cb-42a9-b127-b9afbe69ef7d,AUTO,21748,2019-02-09,11803,D
a421dfd3-9f47-4e45-b0d7-c111e1095c14,AUTO,9393,2018-04-06,8182,F
0b30259e-b3bf-48ed-8a74-96b76ba915a5,CONSTRUCTION,323522,2018-05-21,94761,D
e0e323b3-6bc5-4943-b5c9-ea767d7c0c79,HELOAN,254179,2024-01-03,57984,B
048b3fa0-c770-439a-b355-4e9d1c13d6cc,HELOC,280455,2020-09-18,155255,D
d7b1badf-c955-4c04-8c8a-1b00396fc62e,CREDIT_CARD,17348,2022-11-30,5502,B
819ac8a6-13f1-4ac9-8f41-a3e660f8f377,CONSTRUCTION,308213,2018-06-13,113257,D
cfc867ac-886d-4346-b1ed-d56e73d23edc,AUTO,33316,2016-01-25,12654,F
cc6143ad-157d-4811-b400-cf553c572429,HELOAN,309991,2023-04-17,186725,D
07e9fd85-d3a9-49a8-8753-527608f503bd,CREDIT_CARD,18542,2015-08-25,4415,F
4a43b016-cc47-43e3-bac6-8ff79d932ffa,AUTO,30003,2022-09-13,2796,B
689ce9aa-13dc-49a6-baf1-cdb5d57d206d,CREDIT_CARD,8962,2015-03-01,2191,F
fb5ce5bd-2c44-4d4f-a093-ed23b6e74ac8,HELOAN,262068,2021-03-11,208744,E
ad457f33-0213-4650-9548-e13a4a5d1919,AUTO,17826,2018-04-09,8700,D
e1b16994-35a1-44d0-91e3-b42b5cc3d227,HELOAN,199656,2023-01-08,102632,D
05a4423d-e8ff-4393-bfb0-c0f2d3f636e7,HELOC,280867,2022-08-22,262083,F
cc4c9840-40b6-4232-8e5d-9f2df2ffbb27,AUTO,21416,2017-12-26,19145,F
6f48693e-11d3-4384-b5a7-665e4b1aa010,CONSTRUCTION,200465,2016-06-20,155386,E
c8bbfa6a-2059-4208-83e8-c1156ea9b260,HELOC,266233,2023-06-26,220028,E
04832438-60ae-4f42-b772-b266dc985334,CREDIT_CARD,28317,2021-12-21,15275,D
1b5e7b1d-8926-4546-86de-2d5ff66a33a5,CREDIT_CARD,38427,2017-08-11,8461,E
05e204f6-c017-4f78-b33a-72c93564c7be,CONSTRUCTION,378378,2015-06-27,141246,F
838ae79b-fe56-4d75-a762-eb5fbebac2aa,CONSTRUCTION,225406,2017-12-03,221380,F
20746d51-ec4c-4f65-bd56-9141813a464e,CREDIT_CARD,27019,2023-07-24,9937,C
53f89dbe-99da-4502-b683-d9ed16a77392,HELOAN,87302,2020-03-07,43847,D
ce87cdc6-9e0a-4c2f-8d37-d1d85a602c5f,HELOC,316563,2017-12-07,28017,D
2695a3ca-460c-4585-978e-4cdaf6c8f9c0,AUTO,5959,2020-03-29,2041,C
bc749e77-cab1-42de-90a0-0522c0d25203,AUTO,36176,2022-04-15,16713,C
270f9840-3e08-46f9-b889-deec0839b162,CONSTRUCTION,284076,2015-01-11,30321,F
6825cdc1-8bbd-4506-8647-44a66cd739f8,HELOAN,279118,2022-10-09,94775,C
e5cedde5-9cf2-4854-8979-af2c84a04c6f,HELOC,197403,2019-11-19,110165,D
a82dbe0c-1486-461c-8894-5dc4f9dac98d,HELOAN,236752,2016-03-27,107870,F
38210de2-6d93-4b56-a6c8-52b51054422d,CREDIT_CARD,20451,2022-01-24,7934,C
8b2247ed-5552-4c18-9a37-02446c0045d0,CONSTRUCTION,196849,2015-10-23,121370,F
38004071-c3b9-40db-a84d-c630cc1e0630,HELOAN,307457,2015-11-03,44057,F
4fa878e0-f7d6-4b2e-aa49-124768f8e3a2,HELOAN,283850,2019-08-16,129311,C
47ae5d59-0874-4136-af30-551cd94db320,HELOC,182174,2015-11-21,24727,F
1c631361-3c37-40b4-a6cd-e52d8ce2277d,CREDIT_CARD,17355,2021-10-14,10831,D
cd4a2bc1-4477-4dca-a23e-02f61fce12c5,CONSTRUCTION,133890,2015-03-05,2624,F
80db135c-73cd-4ee7-b0c9-7f389fe3c8a5,CONSTRUCTION,252169,2020-03-05,122538,C
57fca420-2bcc-4933-a541-79be9a7e6032,HELOC,371875,2021-07-31,184980,C
b4e9611c-a9ef-4165-af3a-89b905cdd9fe,HELOC,342005,2022-05-25,176666,D
88e03c4e-9c25-46cc-b5c5-bbea0ee36f20,AUTO,9460,2017-05-18,4032,E
96d58b0f-5cb0-4fc8-b5d0-86ed0d703645,AUTO,21209,2017-11-10,13945,E
f6d7af1c-408b-4f59-97c8-b267aeff01ed,CREDIT_CARD,7092,2020-09-06,976,C
bd5fc950-817c-438f-a6b1-59031ad52c31,CREDIT_CARD,9037,2016-03-21,1201,F
0cb382bf-1db5-474b-bf24-4b9631ff3fb9,AUTO,5177,2022-08-30,3557,E
d20e73ea-9d1b-40e6-afaa-b3641329fe81,AUTO,18364,2017-02-18,10409,E
51acd401-73d1-4854-95e5-11a68febdbe7,CREDIT_CARD,37775,2020-07-21,17147,C
a3c989b0-4e47-44b8-9319-259bb866b338,AUTO,18527,2020-12-23,7667,C
090d4118-0f3f-4bea-9d0c-adaa41402901,CREDIT_CARD,16333,2014-12-04,12892,F
737ac1a8-a4ef-4536-af8e-1b1b2bb315ae,HELOAN,212807,2020-01-18,51507,C
bf99e0d1-5fed-40b7-ad4e-d51810c0c7d5,CREDIT_CARD,10349,2017-08-03,554,E
dbc9eda2-be10-4ae0-9d45-901f7a9db84b,CONSTRUCTION,325314,2019-10-14,295556,F
b316c45f-930b-4119-a774-4796f102c014,CONSTRUCTION,286381,2018-10-27,169256,D
4f01b30f-1181-4625-9642-ad1b3ac76b42,CREDIT_CARD,26875,2018-06-02,21792,E
7fb58cab-7609-4137-8dd9-20df111d135b,HELOC,357723,2022-10-19,172218,C
52768f9b-3aca-40c8-9dcb-c5b64caa6db3,CREDIT_CARD,35325,2019-10-20,6113,C
f5813c80-d566-45b5-8301-00cde5cb924d,HELOAN,293149,2021-05-10,165345,D
9496bd5d-31d7-446f-8149-769fe3cf1fa3,HELOAN,218790,2018-02-16,34321,D
aa3f3d4f-1933-4aa0-830f-653164393aa9,HELOAN,201462,2020-12-15,134439,E
f4438620-cd6b-48d0-b3aa-e7bba289a641,HELOAN,303284,2021-02-13,280605,F
6590f23c-71af-4e0d-9f58-86da3ba16b0d,HELOC,293909,2019-12-24,275452,F
fd14cc53-48cf-4425-ac59-82580c16f9f1,AUTO,16995,2017-09-11,6871,E
17c704d7-07bc-418b-8134-474b795bd6b2,HELOC,373821,2015-08-09,32561,F
c05071dd-dd17-4a32-a27b-9f4412543f0e,HELOC,269665,2023-06-06,22681,A
71268648-2736-48ca-990d-6175880dd85d,HELOC,364890,2022-01-13,283574,E
a641abf7-12f2-4279-a7b1-d8e80af79c54,HELOC,331258,2021-04-03,6488,C
008751b8-6475-4b28-90dc-e4e706819ef4,HELOAN,427978,2018-07-20,70531,D
f04d3583-abc8-4be1-8274-80b15015d3f8,HELOC,302135,2017-07-19,33251,E
8b91f5ba-9082-479d-a7cd-3f08d045b0ee,CONSTRUCTION,278664,2015-05-15,63693,F
92e9b5fb-60d9-4ac3-9c7e-50578dde96a6,HELOAN,355939,2017-09-10,344379,F
0dcb9782-25b0-4995-95f1-0cd2b28cccc1,CREDIT_CARD,38600,2022-03-05,1904,B
a1d4229d-89b3-465d-9aa7-b98b1cfb3ac3,HELOAN,243898,2017-04-25,59227,E
5298f20d-31e0-4830-88de-5f0fe396e2b9,CREDIT_CARD,20857,2020-07-28,9375,C
df06e191-c007-43b2-9b9b-1292827e8dc9,HELOAN,148972,2023-12-24,1470,A
cac3ff90-d469-4e27-85bb-973c9398342e,HELOC,349330,2020-07-12,323492,F
71b79edb-6c5a-4b31-86f5-d2d3649e48f7,HELOAN,244090,2023-03-28,203862,F
6a23cfa5-3321-4224-8b2e-6c5b7fd95561,CREDIT_CARD,7064,2014-10-04,933,F
bc8d9938-aa39-4bae-8bba-9f8a79d955e7,AUTO,5634,2014-09-14,65,F
a152d520-6829-4660-8ef8-559896091058,HELOC,247902,2017-07-13,171665,E
ca328349-8804-4013-8f0e-55e631f7f51f,HELOAN,182887,2023-09-11,169961,F
a50d54b0-96f6-4115-8464-d00c6bb383a7,CONSTRUCTION,293926,2019-08-19,5387,C
2fb0cb2d-c108-4a48-b543-5b61917f0369,HELOC,272599,2017-07-03,211877,E
d4bf6dc6-5a1b-463b-ba00-f6aaf7d38440,CONSTRUCTION,154203,2022-05-31,132933,F
ac2b392c-e4ed-4d74-9a10-de67d5eba261,CONSTRUCTION,247211,2023-03-27,102721,C
5fe8da2f-a7d6-4794-ba0b-52111e8037a8,HELOC,283598,2020-03-03,95442,C
aa5f3804-0cfb-49d8-b5e1-fda5769e2f9e,HELOAN,287840,2019-12-21,233171,E
555accca-0148-49f1-8872-9df9d8bee255,CREDIT_CARD,15829,2020-11-01,13338,F
1fafc9ac-c0a6-4d95-ae41-a5a1e679f892,AUTO,7244,2014-11-27,4920,F
35d9ba12-42de-4dc4-b470-93934cd4c402,CONSTRUCTION,289033,2015-09-25,212883,F
a546ea61-22dc-497a-b796-7aa44447fa43,CREDIT_CARD,15152,2020-07-22,11184,E
99131486-c09d-4bb9-aa8f-58d6cc37af15,HELOAN,276023,2019-06-07,178306,D
4896ab4d-a3ed-47e2-9d65-5be8f6a0b5f9,CREDIT_CARD,17696,2017-05-18,10409,E
b50ab3e4-48ac-430c-9a8b-10bcf7615c0b,CONSTRUCTION,285063,2018-12-16,97169,D
b04e4e25-9f5e-4fa3-b319-c2f6297cd5c3,CREDIT_CARD,25673,2021-12-12,20223,E
39c6b5ea-5cf6-42a4-b52d-af1d4035cbd6,CREDIT_CARD,19735,2016-02-20,13751,F
04f579e1-1b0a-43f9-8499-3a303dad503f,AUTO,38628,2020-01-30,28245,E
12c15f61-6db1-42ff-9cd7-1bfab705680b,AUTO,7491,2017-04-23,1363,E
68619373-19e0-4706-bab4-dd19444784a2,CREDIT_CARD,14204,2019-03-05,9678,E
0d5e5ded-754e-4cd8-b306-809739612484,HELOC,282179,2019-06-13,253489,F
9bcc2ac0-a01e-4629-98c0-cd06e518d24f,HELOAN,350008,2016-08-10,187515,E
af3b2a05-1b40-4078-8bd9-0ba7bc465697,HELOC,341348,2021-01-18,201151,D
e1a30684-a05c-43ce-9c02-f89ef590dc21,AUTO,14608,2020-07-17,9668,D
a46e9dd1-621a-491c-b53d-70853e2fa053,CREDIT_CARD,12688,2023-07-29,891,A
8823ba7c-06c6-4548-be67-913084c55b75,HELOAN,328756,2019-12-09,259413,E
b174a480-7c74-4ee1-9d3d-96a556c67ca8,CONSTRUCTION,295947,2015-03-04,186625,F
2c1c1a27-16b2-440a-839e-330f51617301,HELOAN,394029,2022-11-12,211784,D
83987794-c4f7-4e3c-abd8-40ca953fb7c8,HELOC,435746,2016-11-09,65224,E
b30feaf6-a2e0-4273-931b-74dbe66629f2,HELOC,281649,2019-11-05,226663,E
